geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
23838,75,93,18,24,42,18,0.172,0.672
23839,75,94,19,25,43,18,0.217,0.767
23840,76,95,19,25,42,17,0.211,0.778
23841,80,98,18,28,47,19,0.211,0.778
23842,80,98,18,28,47,19,0.244,0.828
23843,75,94,19,23,40,17,0.217,0.711
23844,85,103,18,31,51,20,0.328,1.050
23845,77,96,19,24,41,17,0.217,0.711
23846,75,94,19,25,43,18,0.217,0.767
23847,81,100,19,29,47,18,0.267,0.939
23850,73,92,19,23,40,17,0.211,0.778
23851,81,100,19,28,47,19,0.233,0.867
23856,78,97,19,25,43,18,0.217,0.711
23857,76,96,19,24,41,18,0.217,0.711
23860,88,106,18,34,53,19,0.167,0.644
23866,77,95,18,26,44,18,0.328,1.050
23867,82,100,18,30,49,19,0.300,1.028
23868,76,96,20,23,41,18,0.217,0.711
23872,75,94,19,24,41,17,0.211,0.778
23874,84,103,19,30,49,19,0.328,1.050
23875,85,103,18,31,51,20,0.244,0.828
23876,73,92,19,22,39,17,0.217,0.711
23878,83,101,18,30,49,19,0.328,1.050
23879,80,99,19,27,45,18,0.267,0.939
23881,76,95,19,26,43,17,0.217,0.767
23882,83,101,18,31,50,19,0.300,1.028
23883,73,92,19,24,42,18,0.217,0.767
23884,83,101,18,31,50,19,0.300,1.028
23885,79,97,18,27,45,18,0.211,0.778
23887,76,95,19,23,41,18,0.217,0.711
23888,75,93,18,25,42,17,0.300,1.028
23889,76,95,19,24,42,18,0.217,0.711
23890,77,95,18,26,43,17,0.300,1.028
23891,77,95,18,26,43,17,0.300,1.028
23893,75,94,19,22,39,17,0.217,0.711
23894,70,89,19,20,36,16,0.211,0.778
23897,83,101,18,30,50,20,0.300,1.028
23898,77,96,19,26,44,18,0.222,0.889
23899,75,94,19,25,43,18,0.217,0.767
23901,70,90,20,20,36,16,0.067,0.400
23909,71,90,19,21,37,16,0.067,0.400
23915,75,94,19,22,38,16,0.133,0.517
23917,75,94,19,22,39,17,0.133,0.517
23919,77,96,19,23,41,18,0.133,0.517
23920,75,94,19,22,39,17,0.217,0.711
23921,65,85,20,17,32,15,0.078,0.394
23922,66,86,20,18,33,15,0.217,0.600
23923,66,86,20,17,32,15,0.100,0.383
23924,73,92,19,21,38,17,0.133,0.517
23927,74,93,19,21,37,16,0.133,0.517
23930,67,87,20,19,34,15,0.217,0.600
23934,65,85,20,17,32,15,0.100,0.383
23936,66,86,20,18,33,15,0.078,0.394
23937,69,88,19,19,34,15,0.100,0.383
23938,69,89,20,19,34,15,0.217,0.711
23942,65,85,20,17,32,15,0.067,0.400
23943,69,89,20,20,36,16,0.067,0.400
23944,69,89,20,19,34,15,0.161,0.561
23947,65,85,20,17,31,14,0.100,0.383
23950,75,94,19,22,39,17,0.133,0.517
23952,69,89,20,19,35,16,0.161,0.561
23954,64,85,21,17,31,14,0.067,0.400
23958,64,84,20,16,31,15,0.067,0.400
23959,64,84,20,16,31,15,0.100,0.383
23960,68,88,20,19,34,15,0.067,0.400
23962,70,89,19,19,35,16,0.100,0.383
23963,61,82,21,14,29,15,0.100,0.383
23964,73,92,19,20,37,17,0.100,0.383
23966,68,88,20,19,35,16,0.067,0.400
23967,71,90,19,20,36,16,0.100,0.383
23968,74,93,19,21,38,17,0.133,0.517
23970,73,93,20,21,38,17,0.133,0.517
23974,67,87,20,18,33,15,0.161,0.561
23976,72,91,19,20,36,16,0.100,0.383
24011,50,71,21,8,19,11,0.022,0.156
24012,54,76,22,10,22,12,0.022,0.156
24013,55,76,21,10,22,12,0.022,0.156
24014,50,72,22,8,19,11,0.022,0.156
24015,51,73,22,8,20,12,0.022,0.156
24016,53,75,22,9,21,12,0.022,0.156
24017,57,78,21,11,24,13,0.022,0.156
24018,46,68,22,7,17,10,0.022,0.161
24019,52,73,21,8,20,12,0.022,0.161
24020,49,71,22,8,19,11,0.022,0.161
24053,44,65,21,5,14,9,0.028,0.189
24054,63,84,21,13,27,14,0.039,0.217
24055,62,84,22,13,28,15,0.039,0.217
24058,29,49,20,2,7,5,0.006,0.006
24059,18,34,16,1,4,3,0.022,0.161
24060,26,45,19,2,7,5,0.006,0.050
24064,42,63,21,6,15,9,0.039,0.206
24065,48,69,21,7,18,11,0.033,0.211
24066,47,69,22,8,19,11,0.039,0.206
24067,44,65,21,6,15,9,0.033,0.211
24069,67,88,21,16,31,15,0.106,0.333
24070,29,48,19,2,8,6,0.022,0.161
24072,17,33,16,1,4,3,0.011,0.078
24073,25,44,19,1,6,5,0.006,0.050
24076,48,69,21,6,16,10,0.028,0.189
24077,46,68,22,7,17,10,0.039,0.206
24078,62,83,21,13,27,14,0.039,0.217
24079,24,43,19,2,6,4,0.011,0.078
24082,64,85,21,14,29,15,0.028,0.189
24083,45,67,22,6,16,10,0.039,0.206
24084,25,44,19,1,6,5,0.006,0.006
24085,53,75,22,9,22,13,0.039,0.206
24086,24,43,19,1,6,5,0.006,0.006
24087,34,53,19,3,11,8,0.006,0.050
24088,51,73,22,8,19,11,0.033,0.211
24089,64,85,21,14,29,15,0.039,0.217
24090,48,70,22,7,18,11,0.039,0.206
24091,18,35,17,1,4,3,0.011,0.078
24092,55,77,22,10,22,12,0.033,0.211
24093,21,40,19,1,5,4,0.006,0.006
24095,56,78,22,10,23,13,0.061,0.267
24101,54,76,22,10,22,12,0.033,0.211
24102,56,77,21,10,22,12,0.033,0.211
24104,56,77,21,11,23,12,0.061,0.267
24105,13,29,16,0,2,2,0.011,0.078
24112,63,84,21,13,28,15,0.039,0.217
24120,14,29,15,1,3,2,0.028,0.189
24121,56,78,22,11,23,12,0.061,0.267
24122,43,64,21,6,16,10,0.061,0.267
24124,14,29,15,1,3,2,0.006,0.006
24127,6,18,12,0,1,1,0.022,0.106
24128,18,35,17,1,4,3,0.006,0.006
24130,49,71,22,8,19,11,0.039,0.206
24132,30,51,21,2,8,6,0.006,0.006
24133,61,82,21,12,26,14,0.028,0.189
24134,25,45,20,1,6,5,0.006,0.006
24136,23,42,19,1,6,5,0.006,0.006
24137,55,77,22,10,22,12,0.033,0.211
24138,17,34,17,1,4,3,0.006,0.050
24139,57,78,21,11,24,13,0.106,0.333
24141,27,47,20,2,7,5,0.006,0.006
24142,26,46,20,2,7,5,0.006,0.006
24147,23,42,19,1,5,4,0.006,0.006
24148,65,86,21,15,29,14,0.039,0.217
24149,20,38,18,1,4,3,0.006,0.050
24150,18,33,15,1,4,3,0.006,0.006
24151,52,73,21,8,20,12,0.033,0.211
24153,49,71,22,8,19,11,0.022,0.128
24161,58,80,22,11,25,14,0.106,0.333
24162,31,51,20,3,9,6,0.006,0.050
24165,65,86,21,14,29,15,0.039,0.217
24167,23,43,20,1,5,4,0.006,0.006
24168,63,84,21,14,28,14,0.039,0.217
24171,52,73,21,8,20,12,0.028,0.189
24174,51,74,23,9,21,12,0.061,0.267
24175,41,63,22,5,15,10,0.039,0.206
24176,57,78,21,11,23,12,0.033,0.211
24179,54,76,22,10,22,12,0.022,0.161
24184,55,77,22,10,22,12,0.033,0.211
24185,47,68,21,6,16,10,0.028,0.189
24201,42,65,23,3,12,9,0.000,0.011
24202,36,58,22,2,9,7,0.006,0.022
24210,31,53,22,2,7,5,0.006,0.022
24211,34,56,22,2,8,6,0.006,0.022
24216,26,47,21,1,6,5,0.006,0.017
24217,25,45,20,1,6,5,0.011,0.033
24219,24,43,19,1,6,5,0.006,0.017
24221,49,72,23,6,16,10,0.011,0.044
24224,25,46,21,1,6,5,0.011,0.022
24225,25,46,21,1,6,5,0.011,0.022
24230,20,39,19,1,4,3,0.006,0.017
24236,12,27,15,0,2,2,0.006,0.022
24237,22,42,20,1,5,4,0.011,0.033
24239,28,48,20,2,7,5,0.011,0.067
24244,43,66,23,4,13,9,0.011,0.028
24245,34,56,22,2,9,7,0.011,0.028
24246,33,55,22,2,9,7,0.006,0.017
24250,38,60,22,3,10,7,0.011,0.028
24251,50,74,24,6,17,11,0.011,0.028
24256,32,53,21,2,9,7,0.011,0.033
24258,44,67,23,4,13,9,0.011,0.028
24260,21,40,19,1,4,3,0.011,0.022
24266,17,34,17,1,3,2,0.011,0.022
24270,39,61,22,3,11,8,0.006,0.022
24271,31,52,21,2,7,5,0.011,0.028
24273,8,20,12,0,1,1,0.000,0.006
24279,21,41,20,1,5,4,0.006,0.017
24280,11,24,13,0,2,2,0.011,0.022
24283,32,53,21,2,8,6,0.006,0.017
24290,55,79,24,7,20,13,0.011,0.028
24292,2,10,8,0,0,0,0.000,0.011
24293,14,31,17,0,2,2,0.006,0.017
24301,20,38,18,1,4,3,0.006,0.006
24311,10,25,15,0,1,1,0.000,0.011
24312,18,36,18,1,3,2,0.000,0.022
24313,20,38,18,1,4,3,0.000,0.006
24314,9,24,15,0,1,1,0.000,0.006
24315,11,26,15,0,2,2,0.000,0.006
24316,25,45,20,1,5,4,0.000,0.011
24317,46,67,21,5,14,9,0.000,0.022
24318,10,24,14,0,1,1,0.000,0.006
24319,17,34,17,1,3,2,0.000,0.011
24322,15,31,16,0,2,2,0.000,0.006
24323,15,32,17,0,2,2,0.000,0.006
24324,21,40,19,1,4,3,0.006,0.006
24325,13,29,16,0,2,2,0.000,0.022
24326,8,21,13,0,1,1,0.000,0.011
24328,28,47,19,2,7,5,0.000,0.022
24330,16,33,17,0,2,2,0.000,0.011
24333,15,31,16,0,2,2,0.000,0.006
24340,24,44,20,1,5,4,0.006,0.022
24343,16,33,17,1,3,2,0.000,0.022
24347,18,35,17,1,4,3,0.006,0.006
24348,12,26,14,0,1,1,0.000,0.011
24350,20,38,18,1,4,3,0.000,0.006
24351,47,68,21,5,14,9,0.000,0.022
24352,12,26,14,0,2,2,0.000,0.022
24354,16,33,17,0,2,2,0.000,0.011
24360,21,40,19,1,4,3,0.000,0.006
24361,27,48,21,1,6,5,0.006,0.022
24363,8,21,13,0,1,1,0.000,0.011
24366,12,27,15,0,2,2,0.000,0.006
24368,13,29,16,0,2,2,0.000,0.006
24370,22,41,19,1,4,3,0.000,0.011
24374,8,20,12,0,1,1,0.000,0.006
24375,7,20,13,0,1,1,0.000,0.011
24377,18,36,18,1,3,2,0.000,0.011
24378,5,15,10,0,0,0,0.000,0.011
24380,10,24,14,0,2,2,0.011,0.078
24381,14,30,16,0,2,2,0.000,0.022
24382,19,36,17,1,4,3,0.000,0.006
24401,45,66,21,8,19,11,0.061,0.194
24411,21,38,17,1,5,4,0.083,0.311
24412,12,26,14,1,2,1,0.033,0.156
24413,6,16,10,0,1,1,0.017,0.044
24415,39,60,21,5,13,8,0.067,0.278
24416,41,62,21,6,16,10,0.061,0.278
24421,41,62,21,6,16,10,0.083,0.311
24422,51,73,22,8,21,13,0.039,0.194
24426,38,59,21,5,14,9,0.039,0.194
24430,32,52,20,3,10,7,0.083,0.311
24431,38,58,20,5,14,9,0.083,0.311
24432,24,42,18,2,6,4,0.083,0.311
24433,10,23,13,0,2,2,0.017,0.044
24435,42,62,20,6,16,10,0.067,0.278
24437,53,73,20,10,23,13,0.083,0.311
24439,35,55,20,4,12,8,0.067,0.278
24440,30,49,19,3,10,7,0.083,0.311
24441,47,67,20,8,19,11,0.039,0.183
24442,10,23,13,0,2,2,0.017,0.044
24445,12,25,13,1,3,2,0.033,0.156
24448,59,81,22,12,26,14,0.039,0.194
24450,54,75,21,11,24,13,0.056,0.206
24457,25,44,19,2,6,4,0.039,0.194
24458,15,31,16,1,3,2,0.017,0.044
24459,33,53,20,4,11,7,0.083,0.311
24460,32,52,20,3,10,7,0.033,0.156
24464,16,31,15,1,4,3,0.106,0.400
24465,4,12,8,0,1,1,0.017,0.044
24467,54,75,21,11,24,13,0.083,0.311
24471,45,66,21,8,18,10,0.039,0.183
24472,33,52,19,4,11,7,0.067,0.278
24473,48,69,21,8,19,11,0.067,0.278
24474,40,61,21,6,14,8,0.039,0.194
24476,36,56,20,4,12,8,0.083,0.311
24477,39,59,20,6,15,9,0.083,0.311
24479,36,57,21,5,13,8,0.083,0.311
24482,52,73,21,10,23,13,0.083,0.311
24483,19,34,15,1,5,4,0.067,0.278
24484,12,26,14,1,3,2,0.033,0.156
24485,18,33,15,1,4,3,0.083,0.311
24486,54,75,21,11,24,13,0.083,0.311
24487,17,32,15,1,4,3,0.033,0.156
24501,56,77,21,11,24,13,0.067,0.256
24502,53,74,21,10,22,12,0.067,0.256
24503,58,79,21,13,26,13,0.067,0.256
24504,58,79,21,12,26,14,0.067,0.256
24517,60,81,21,13,27,14,0.128,0.367
24520,71,91,20,19,35,16,0.122,0.383
24521,60,81,21,14,28,14,0.089,0.383
24522,59,80,21,13,27,14,0.078,0.356
24523,53,75,22,10,22,12,0.061,0.267
24526,56,77,21,12,25,13,0.061,0.267
24527,65,86,21,15,30,15,0.106,0.333
24528,62,83,21,16,31,15,0.128,0.367
24529,74,93,19,20,37,17,0.133,0.517
24530,58,80,22,11,24,13,0.106,0.333
24531,58,80,22,11,25,14,0.106,0.333
24534,70,90,20,19,35,16,0.122,0.383
24536,54,76,22,11,24,13,0.061,0.267
24538,57,78,21,12,25,13,0.128,0.367
24539,67,87,20,17,33,16,0.122,0.383
24540,71,91,20,18,35,17,0.033,0.278
24541,74,94,20,20,36,17,0.033,0.278
24549,61,82,21,12,26,14,0.106,0.333
24550,56,77,21,11,24,13,0.128,0.367
24551,54,76,22,10,23,13,0.061,0.267
24553,62,83,21,15,30,15,0.078,0.356
24554,59,80,21,14,27,13,0.128,0.367
24555,53,74,21,10,22,12,0.067,0.278
24556,55,76,21,10,23,13,0.061,0.267
24557,59,80,21,12,26,14,0.106,0.333
24558,68,89,21,18,33,15,0.122,0.383
24562,65,85,20,17,32,15,0.078,0.394
24563,59,80,21,12,26,14,0.106,0.333
24565,66,86,20,16,31,15,0.106,0.333
24566,66,87,21,15,31,16,0.106,0.333
24569,62,82,20,15,29,14,0.106,0.333
24570,56,78,22,11,24,13,0.061,0.267
24571,59,80,21,12,26,14,0.128,0.367
24572,59,80,21,13,27,14,0.089,0.383
24574,58,79,21,12,26,14,0.089,0.383
24577,66,86,20,16,32,16,0.122,0.383
24578,55,76,21,11,24,13,0.067,0.278
24579,46,66,20,8,19,11,0.067,0.278
24580,72,92,20,19,36,17,0.133,0.517
24581,64,84,20,16,31,15,0.106,0.400
24586,74,93,19,20,37,17,0.106,0.333
24588,55,76,21,11,24,13,0.128,0.367
24589,70,90,20,19,35,16,0.122,0.383
24590,65,85,20,17,32,15,0.089,0.394
24592,70,90,20,18,34,16,0.122,0.383
24593,58,78,20,12,26,14,0.078,0.356
24594,73,93,20,20,37,17,0.106,0.333
24595,59,80,21,13,27,14,0.089,0.383
24597,67,88,21,17,32,15,0.122,0.383
24598,71,91,20,19,34,15,0.122,0.383
24599,65,85,20,17,32,15,0.078,0.394
24601,18,36,18,1,4,3,0.000,0.011
24602,15,31,16,1,3,2,0.000,0.011
24603,41,63,22,4,14,10,0.011,0.067
24604,13,28,16,0,2,2,0.000,0.011
24605,7,20,13,0,1,1,0.000,0.011
24606,11,26,15,0,2,2,0.000,0.011
24607,33,54,21,3,10,7,0.011,0.033
24609,11,25,14,0,2,2,0.000,0.011
24612,18,35,17,1,3,2,0.000,0.011
24613,9,24,15,0,1,1,0.000,0.011
24614,33,54,21,3,10,7,0.011,0.067
24620,37,58,21,3,12,9,0.011,0.067
24622,13,29,16,0,2,2,0.011,0.067
24628,34,55,21,3,10,7,0.011,0.067
24630,8,21,13,0,1,1,0.000,0.011
24631,27,46,19,2,7,5,0.011,0.067
24634,20,39,19,1,4,3,0.011,0.067
24635,11,27,16,0,2,2,0.000,0.011
24637,10,24,14,0,1,1,0.000,0.011
24639,19,37,18,1,4,3,0.000,0.011
24641,17,35,18,1,3,2,0.000,0.011
24646,17,34,17,1,3,2,0.011,0.067
24649,19,38,19,1,4,3,0.011,0.022
24651,6,17,11,0,1,1,0.000,0.011
24656,28,49,21,2,7,5,0.011,0.067
24657,18,35,17,1,4,3,0.011,0.067
24701,9,22,13,0,1,1,0.000,0.006
24712,13,29,16,0,3,3,0.000,0.006
24714,14,30,16,0,3,3,0.000,0.006
24715,12,27,15,0,2,2,0.000,0.006
24716,18,35,17,1,4,3,0.011,0.028
24719,12,27,15,0,2,2,0.011,0.028
24724,9,23,14,0,1,1,0.000,0.006
24726,13,28,15,0,2,2,0.011,0.028
24729,9,24,15,0,2,2,0.000,0.006
24731,12,28,16,0,2,2,0.000,0.006
24733,13,28,15,0,2,2,0.000,0.006
24736,10,25,15,0,2,2,0.000,0.006
24737,8,21,13,0,1,1,0.000,0.006
24738,11,27,16,0,2,2,0.000,0.006
24740,13,29,16,0,2,2,0.000,0.006
24747,12,27,15,0,2,2,0.000,0.006
24801,27,48,21,2,7,5,0.006,0.050
24808,17,34,17,1,3,2,0.006,0.050
24811,32,52,20,2,9,7,0.006,0.050
24813,29,49,20,2,7,5,0.006,0.050
24815,23,42,19,1,5,4,0.006,0.050
24816,31,52,21,2,9,7,0.006,0.050
24817,29,49,20,2,8,6,0.006,0.050
24818,32,53,21,2,9,7,0.011,0.028
24822,32,53,21,2,10,8,0.011,0.028
24823,31,51,20,2,9,7,0.011,0.028
24826,24,44,20,1,6,5,0.006,0.050
24827,23,41,18,1,6,5,0.011,0.028
24828,28,49,21,2,8,6,0.006,0.050
24830,20,39,19,1,4,3,0.006,0.050
24831,14,31,17,0,3,3,0.006,0.050
24834,30,50,20,2,8,6,0.011,0.028
24836,25,45,20,1,6,5,0.006,0.050
24839,34,54,20,3,10,7,0.011,0.028
24843,32,52,20,2,9,7,0.006,0.050
24844,36,57,21,3,11,8,0.006,0.050
24845,36,57,21,3,11,8,0.011,0.028
24846,41,63,22,5,14,9,0.006,0.050
24847,25,46,21,1,7,6,0.011,0.028
24848,13,29,16,0,2,2,0.006,0.050
24849,23,43,20,1,6,5,0.011,0.028
24850,25,45,20,2,7,5,0.006,0.050
24851,41,62,21,4,14,10,0.094,0.239
24853,21,40,19,1,5,4,0.006,0.050
24854,19,37,18,1,5,4,0.011,0.028
24857,27,47,20,2,8,6,0.011,0.028
24860,24,44,20,1,6,5,0.011,0.028
24861,12,27,15,0,2,2,0.006,0.050
24862,38,59,21,4,13,9,0.006,0.050
24866,22,41,19,1,5,4,0.006,0.050
24867,27,48,21,2,7,5,0.011,0.028
24868,15,31,16,1,3,2,0.006,0.050
24869,35,56,21,3,11,8,0.011,0.028
24870,23,43,20,1,6,5,0.011,0.028
24871,19,37,18,1,4,3,0.006,0.050
24872,38,59,21,4,12,8,0.006,0.050
24873,27,46,19,2,7,5,0.006,0.050
24874,28,49,21,2,8,6,0.011,0.028
24878,27,47,20,2,7,5,0.006,0.050
24879,27,47,20,2,7,5,0.006,0.050
24880,24,44,20,1,6,5,0.011,0.028
24881,30,50,20,2,8,6,0.006,0.050
24882,37,59,22,3,12,9,0.011,0.028
24884,18,35,17,1,4,3,0.006,0.050
24887,12,28,16,0,2,2,0.006,0.050
24888,22,41,19,1,5,4,0.006,0.050
24892,28,48,20,2,7,5,0.006,0.050
24894,28,48,20,2,7,5,0.006,0.050
24898,30,51,21,2,8,6,0.011,0.028
24901,32,52,20,3,10,7,0.028,0.078
24910,27,47,20,2,8,6,0.028,0.078
24915,2,9,7,0,0,0,0.017,0.039
24916,26,46,20,2,7,5,0.028,0.078
24918,28,48,20,2,8,6,0.011,0.011
24920,2,7,5,0,0,0,0.017,0.039
24924,9,23,14,0,2,2,0.017,0.039
24925,21,39,18,1,6,5,0.028,0.078
24927,8,21,13,0,2,2,0.017,0.039
24931,21,40,19,1,6,5,0.028,0.078
24934,7,18,11,0,1,1,0.017,0.039
24935,27,47,20,1,7,6,0.006,0.006
24938,28,48,20,2,9,7,0.028,0.078
24941,15,31,16,1,3,2,0.011,0.011
24944,3,9,6,0,0,0,0.017,0.039
24945,30,51,21,2,9,7,0.011,0.011
24946,12,26,14,1,2,1,0.017,0.039
24951,18,35,17,1,4,3,0.011,0.011
24954,7,18,11,0,1,1,0.017,0.039
24957,29,49,20,2,9,7,0.028,0.078
24962,30,51,21,2,9,7,0.006,0.006
24963,22,41,19,1,5,4,0.011,0.011
24966,24,42,18,2,7,5,0.028,0.078
24970,29,50,21,2,9,7,0.028,0.078
24974,21,39,18,1,5,4,0.011,0.011
24976,25,45,20,2,7,5,0.011,0.011
24977,19,36,17,1,5,4,0.028,0.078
24981,28,48,20,2,8,6,0.006,0.006
24983,22,40,18,1,6,5,0.011,0.011
24984,15,31,16,1,3,2,0.011,0.011
24986,20,38,18,1,5,4,0.028,0.078
24991,23,42,19,1,6,5,0.028,0.078
25002,37,58,21,4,13,9,0.011,0.033
25003,52,75,23,9,22,13,0.056,0.172
25005,47,70,23,7,19,12,0.056,0.122
25007,21,40,19,1,5,4,0.006,0.017
25008,18,35,17,1,4,3,0.006,0.017
25009,48,71,23,8,20,12,0.044,0.139
25011,53,75,22,10,23,13,0.067,0.217
25015,45,68,23,7,19,12,0.056,0.150
25019,33,54,21,3,11,8,0.022,0.039
25021,31,51,20,3,10,7,0.044,0.139
25022,36,57,21,4,13,9,0.061,0.150
25024,44,66,22,6,17,11,0.044,0.139
25025,37,58,21,4,14,10,0.056,0.150
25028,36,57,21,4,12,8,0.044,0.139
25030,44,66,22,6,17,11,0.022,0.039
25031,37,58,21,4,14,10,0.011,0.033
25033,51,73,22,10,22,12,0.067,0.217
25035,44,66,22,7,18,11,0.056,0.150
25036,35,56,21,4,13,9,0.011,0.033
25039,42,64,22,6,17,11,0.056,0.150
25040,36,57,21,4,13,9,0.011,0.033
25043,39,61,22,5,15,10,0.022,0.039
25044,17,34,17,1,4,3,0.006,0.017
25045,47,69,22,7,19,12,0.056,0.150
25047,44,66,22,6,17,11,0.061,0.150
25048,29,49,20,2,9,7,0.006,0.017
25049,44,65,21,6,17,11,0.044,0.139
25051,49,71,22,8,20,12,0.044,0.139
25053,48,70,22,8,19,11,0.044,0.139
25054,36,57,21,4,13,9,0.056,0.150
25057,37,58,21,4,13,9,,
25059,39,61,22,5,15,10,0.011,0.033
25060,29,49,20,2,9,7,0.006,0.017
25061,40,61,21,5,15,10,0.056,0.150
25062,25,44,19,1,6,5,0.006,0.017
25063,42,64,22,6,16,10,0.022,0.039
25064,55,78,23,11,25,14,0.056,0.150
25067,40,62,22,6,16,10,0.056,0.150
25070,53,74,21,10,23,13,0.067,0.217
25071,48,70,22,8,20,12,0.056,0.150
25075,32,52,20,3,10,7,0.056,0.150
25076,48,70,22,8,20,12,0.061,0.150
25081,40,61,21,5,15,10,0.044,0.139
25082,52,73,21,10,23,13,0.067,0.217
25083,33,54,21,4,12,8,0.056,0.150
25085,38,59,21,4,14,10,0.011,0.033
25086,43,65,22,7,18,11,0.056,0.150
25088,37,59,22,4,14,10,0.022,0.039
25090,39,60,21,5,14,9,0.011,0.033
25093,37,58,21,4,13,9,0.044,0.139
25102,33,54,21,3,12,9,0.056,0.150
25103,42,63,21,6,17,11,0.056,0.150
25106,54,75,21,11,23,12,0.117,0.256
25107,42,64,22,6,17,11,0.056,0.150
25108,43,64,21,6,16,10,0.044,0.139
25109,52,74,22,10,23,13,0.067,0.217
25110,42,64,22,7,18,11,0.056,0.150
25111,33,54,21,3,11,8,0.022,0.039
25113,43,65,22,6,17,11,0.022,0.039
25114,45,67,22,7,18,11,0.044,0.139
25115,33,53,20,3,11,8,0.011,0.033
25118,33,54,21,3,11,8,0.011,0.033
25119,26,45,19,2,8,6,0.011,0.033
25121,40,61,21,5,15,10,0.061,0.150
25123,50,72,22,9,21,12,0.117,0.256
25124,49,71,22,9,21,12,0.067,0.217
25125,36,57,21,4,13,9,0.022,0.039
25126,43,65,22,7,18,11,0.056,0.150
25130,46,68,22,7,18,11,0.044,0.139
25132,38,59,21,5,14,9,0.056,0.150
25133,43,65,22,6,16,10,0.022,0.039
25134,40,61,21,5,15,10,0.056,0.150
25136,38,59,21,5,14,9,0.011,0.033
25139,39,60,21,4,14,10,0.011,0.033
25140,26,45,19,2,7,5,0.006,0.017
25141,42,64,22,6,16,10,0.022,0.039
25142,48,70,22,8,20,12,0.044,0.139
25143,53,75,22,10,23,13,0.056,0.150
25148,42,64,22,6,16,10,0.044,0.139
25149,44,66,22,6,17,11,0.044,0.139
25152,28,48,20,2,8,6,,
25154,41,62,21,5,15,10,0.044,0.139
25156,42,65,23,7,18,11,0.056,0.150
25159,53,75,22,10,23,13,0.067,0.217
25160,37,58,21,4,14,10,0.056,0.150
25161,25,44,19,2,7,5,0.011,0.033
25162,43,65,22,7,18,11,0.056,0.150
25164,45,67,22,6,18,12,0.022,0.039
25165,45,67,22,7,18,11,0.044,0.139
25168,51,73,22,9,22,13,0.067,0.217
25169,44,66,22,6,17,11,0.044,0.139
25173,25,45,20,2,7,5,0.011,0.033
25174,21,40,19,1,5,4,0.006,0.017
25177,54,76,22,10,23,13,0.056,0.150
25180,19,36,17,1,4,3,0.006,0.017
25181,42,64,22,6,16,10,0.044,0.139
25183,41,63,22,5,15,10,0.061,0.150
25185,35,56,21,4,12,8,0.011,0.033
25186,37,57,20,4,13,9,0.011,0.033
25187,51,72,21,10,22,12,0.117,0.256
25193,34,54,20,3,11,8,0.044,0.139
25201,42,64,22,6,17,11,0.056,0.150
25202,53,76,23,10,23,13,0.056,0.150
25203,47,69,22,7,19,12,0.044,0.139
25204,27,46,19,2,8,6,0.044,0.139
25205,43,65,22,6,17,11,0.044,0.139
25206,37,58,21,4,13,9,0.044,0.139
25208,25,44,19,2,7,5,0.044,0.139
25209,31,51,20,3,10,7,0.006,0.017
25211,30,50,20,2,10,8,0.022,0.039
25213,52,74,22,10,23,13,0.067,0.217
25214,43,65,22,6,17,11,0.056,0.150
25234,46,68,22,8,19,11,0.067,0.117
25235,42,64,22,6,16,10,0.067,0.117
25239,53,74,21,10,23,13,0.094,0.233
25241,52,74,22,10,22,12,0.094,0.233
25243,49,71,22,9,21,12,0.056,0.122
25244,49,71,22,9,20,11,0.094,0.233
25245,49,71,22,9,21,12,0.094,0.233
25247,51,72,21,10,21,11,0.117,0.256
25248,50,72,22,9,21,12,0.094,0.233
25251,46,68,22,7,18,11,0.056,0.122
25252,50,72,22,9,21,12,0.094,0.233
25253,50,71,21,9,21,12,0.117,0.256
25259,46,68,22,7,19,12,0.056,0.122
25260,50,71,21,9,21,12,0.117,0.256
25261,44,66,22,7,17,10,0.067,0.117
25262,53,75,22,10,23,13,0.094,0.233
25264,51,72,21,9,21,12,0.117,0.256
25265,52,73,21,10,22,12,0.117,0.256
25266,45,67,22,7,18,11,0.056,0.122
25267,44,66,22,6,17,11,0.061,0.072
25268,44,66,22,7,17,10,0.067,0.117
25270,49,70,21,9,21,12,0.056,0.122
25271,52,73,21,10,22,12,0.094,0.233
25275,52,73,21,10,22,12,0.094,0.233
25276,48,70,22,8,20,12,0.056,0.122
25285,41,64,23,6,16,10,0.022,0.039
25286,47,70,23,8,19,11,0.056,0.122
25287,50,71,21,9,20,11,0.117,0.256
25301,50,73,23,9,22,13,0.056,0.150
25302,52,74,22,10,23,13,0.056,0.150
25303,52,75,23,10,23,13,0.056,0.150
25304,49,72,23,9,21,12,0.056,0.150
25305,50,73,23,9,22,13,0.056,0.150
25306,44,66,22,7,18,11,0.056,0.150
25309,51,73,22,9,22,13,0.056,0.150
25311,49,72,23,9,21,12,0.056,0.150
25312,52,74,22,10,23,13,0.056,0.150
25313,52,74,22,10,22,12,0.056,0.150
25314,49,72,23,8,21,13,0.056,0.150
25315,47,69,22,8,20,12,0.056,0.150
25320,50,72,22,9,21,12,0.056,0.150
25401,52,71,19,12,24,12,0.056,0.144
25403,51,70,19,11,23,12,0.056,0.144
25404,52,71,19,12,23,11,0.056,0.144
