geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
1420,18,31,13,2,5,3,0.006,0.006
1430,11,21,10,1,3,2,0.006,0.006
1431,15,27,12,1,4,3,0.011,0.017
1432,22,36,14,3,8,5,0.011,0.017
1434,22,36,14,3,8,5,0.006,0.006
1436,11,22,11,1,3,2,0.006,0.006
1438,9,19,10,0,2,2,0.006,0.006
1440,10,20,10,1,2,1,0.006,0.006
1450,23,37,14,3,8,5,0.011,0.017
1451,21,35,14,2,7,5,0.006,0.006
1452,10,20,10,1,2,1,0.006,0.006
1453,20,33,13,2,6,4,0.006,0.006
1460,24,37,13,3,9,6,0.011,0.017
1462,21,34,13,2,7,5,0.006,0.006
1463,23,36,14,3,8,5,0.011,0.017
1464,23,37,14,3,8,5,0.011,0.017
1467,20,33,13,2,7,5,0.006,0.006
1468,10,20,10,1,2,1,0.006,0.006
1469,22,35,13,2,7,5,0.011,0.017
1473,12,22,10,1,3,2,0.006,0.006
1474,20,33,13,2,6,4,0.011,0.017
1475,11,21,10,1,2,1,0.006,0.006
1501,15,26,11,1,4,3,0.006,0.006
1503,20,34,14,2,7,5,0.006,0.006
1504,22,35,13,3,8,5,0.006,0.006
1505,17,30,13,2,5,3,0.006,0.006
1506,15,26,11,1,4,3,0.006,0.006
1507,14,25,11,1,4,3,0.006,0.006
1510,19,32,13,2,6,4,0.006,0.006
1515,13,24,11,1,3,2,0.006,0.006
1516,17,30,13,2,6,4,0.006,0.006
1518,15,26,11,1,4,3,0.006,0.006
1519,19,32,13,2,6,4,0.006,0.006
1520,13,23,10,1,3,2,0.006,0.006
1521,14,24,10,1,3,2,0.011,0.017
1522,13,24,11,1,3,2,0.006,0.006
1523,20,34,14,2,7,5,0.006,0.006
1524,11,21,10,1,3,2,0.006,0.006
1525,23,37,14,3,8,5,0.006,0.006
1527,17,29,12,2,5,3,0.006,0.006
1529,21,35,14,3,8,5,0.006,0.006
1531,12,22,10,1,3,2,0.006,0.006
1532,21,35,14,2,7,5,0.006,0.006
1534,21,35,14,2,7,5,0.006,0.006
1535,13,24,11,1,3,2,0.006,0.006
1536,19,32,13,2,6,4,0.006,0.006
1537,14,26,12,1,4,3,0.006,0.006
1540,15,26,11,1,4,3,0.006,0.006
1541,13,24,11,1,3,2,0.006,0.006
1542,12,23,11,1,3,2,0.006,0.006
1543,9,18,9,1,2,1,0.006,0.006
1545,18,31,13,2,6,4,0.006,0.006
1550,17,29,12,2,5,3,0.006,0.006
1560,19,32,13,2,6,4,0.006,0.006
1561,20,34,14,2,7,5,0.006,0.006
1562,11,20,9,1,2,1,0.006,0.006
1564,18,31,13,2,5,3,0.006,0.006
1566,15,26,11,1,4,3,0.006,0.006
1568,21,35,14,2,7,5,0.006,0.006
1569,22,35,13,3,8,5,0.006,0.006
1570,17,29,12,2,5,3,0.006,0.006
1571,17,30,13,2,5,3,0.006,0.006
1581,20,33,13,2,6,4,0.006,0.006
1583,17,29,12,1,5,4,0.006,0.006
1585,14,26,12,1,4,3,0.006,0.006
1588,21,35,14,2,7,5,0.006,0.006
1590,17,29,12,2,5,3,0.006,0.006
1602,15,26,11,1,4,3,0.006,0.006
1603,15,27,12,1,4,3,0.006,0.006
1604,17,30,13,2,5,3,0.006,0.006
1605,16,28,12,1,5,4,0.006,0.006
1606,16,28,12,1,4,3,0.006,0.006
1607,17,29,12,1,5,4,0.006,0.006
1608,16,28,12,1,5,4,0.006,0.006
1609,16,27,11,1,4,3,0.006,0.006
1610,16,28,12,1,5,4,0.006,0.006
1611,14,25,11,1,4,3,0.006,0.006
1612,9,18,9,1,2,1,0.006,0.006
1701,25,39,14,4,10,6,0.011,0.017
1702,25,39,14,4,10,6,0.011,0.017
1718,24,39,15,4,10,6,0.011,0.017
1719,23,37,14,3,8,5,0.011,0.017
1720,24,38,14,4,9,5,0.011,0.017
1721,24,39,15,4,10,6,0.011,0.017
1730,24,38,14,4,10,6,0.011,0.017
1731,24,38,14,4,10,6,0.011,0.017
1740,21,34,13,2,7,5,0.006,0.006
1741,24,38,14,4,10,6,0.011,0.017
1742,25,39,14,4,10,6,0.011,0.017
1745,23,37,14,3,9,6,0.006,0.006
1746,26,41,15,4,10,6,0.011,0.017
1747,25,39,14,4,9,5,0.006,0.006
1748,22,36,14,3,8,5,0.011,0.017
1749,21,34,13,2,7,5,0.011,0.017
1752,22,35,13,3,8,5,0.011,0.017
1754,25,39,14,4,10,6,0.011,0.017
1756,23,37,14,3,8,5,0.006,0.006
1757,24,39,15,4,9,5,0.006,0.006
1760,25,39,14,4,10,6,0.011,0.017
1770,25,40,15,4,10,6,0.011,0.017
1772,22,36,14,3,8,5,0.006,0.006
1773,24,38,14,4,10,6,0.011,0.017
1775,24,38,14,3,9,6,0.011,0.017
1776,25,40,15,4,10,6,0.011,0.017
1778,24,38,14,4,10,6,0.011,0.017
1801,23,36,13,4,9,5,0.011,0.017
1803,23,36,13,4,10,6,0.011,0.017
1810,23,36,13,4,9,5,0.017,0.072
1821,24,38,14,4,10,6,0.011,0.017
1824,24,38,14,4,9,5,0.011,0.017
1826,24,38,14,3,9,6,0.011,0.017
1827,24,39,15,3,9,6,0.011,0.017
1830,23,36,13,4,9,5,0.017,0.072
1832,23,36,13,4,9,5,0.017,0.072
1833,20,33,13,3,7,4,0.017,0.072
1834,21,34,13,3,8,5,0.017,0.072
1835,22,35,13,3,8,5,0.017,0.072
